year,state_code,producer_type,fuel_source,generators,facilities,nameplate_capacity_(megawatts),summer_capacity_(megawatts),summer_capacity_change
1990,AK,"Combined Heat and Power, Commercial Power",All Sources,,4.0,85.9,80.1,
1991,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,72.5,67.9,-12.199999999999989
1992,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,72.5,68.0,0.09999999999999432
1993,AK,"Combined Heat and Power, Commercial Power",All Sources,,4.0,68.0,63.6,-4.399999999999999
1994,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,76.3,71.3,7.699999999999996
1995,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,76.2,71.3,0.0
1996,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,76.3,71.3,0.0
1997,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,76.3,71.3,0.0
1998,AK,"Combined Heat and Power, Commercial Power",All Sources,,5.0,43.8,41.0,-30.299999999999997
1999,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,53.4,50.2,9.200000000000003
2000,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,53.0,50.0,-0.20000000000000284
2001,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,53.0,34.0,-16.0
2002,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,53.0,34.0,0.0
2003,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,84.0,58.0,24.0
2004,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,85.0,59.0,1.0
2005,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,85.0,75.0,16.0
2006,AK,"Combined Heat and Power, Commercial Power",All Sources,,7.0,85.0,75.0,0.0
2007,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,84.0,74.0,-1.0
2008,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,84.0,74.0,0.0
2009,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,81.0,71.0,-3.0
2010,AK,"Combined Heat and Power, Commercial Power",All Sources,,6.0,86.0,76.0,5.0
1990,AR,"Combined Heat and Power, Commercial Power",All Sources,,3.0,14.2,13.8,
1991,AR,"Combined Heat and Power, Commercial Power",All Sources,,3.0,14.2,13.8,0.0
1992,AR,"Combined Heat and Power, Commercial Power",All Sources,,3.0,14.2,13.8,0.0
1993,AR,"Combined Heat and Power, Commercial Power",All Sources,,3.0,14.2,13.8,0.0
1994,AR,"Combined Heat and Power, Commercial Power",All Sources,,4.0,14.2,13.8,0.0
1995,AR,"Combined Heat and Power, Commercial Power",All Sources,,4.0,14.2,13.8,0.0
1996,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.8,-5.0
1997,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.8,0.0
1998,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.8,0.0
1999,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.8,0.0
2000,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,9.0,0.1999999999999993
2001,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.0,-1.0
2002,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.0,0.0
2003,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.0,0.0
2004,AR,"Combined Heat and Power, Commercial Power",All Sources,,2.0,9.0,8.0,0.0
2005,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,-6.0
2006,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,0.0
2007,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,0.0
2008,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,1.0,1.0,-1.0
2009,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,1.0
2010,AR,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.0,2.0,0.0
1990,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,6.9,6.5,
1991,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,6.9,6.5,0.0
1992,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.5,0.0
1993,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.09999999999999964
1994,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.0
1995,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.0
1996,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.0
1997,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,6.9,6.6,0.0
1998,AZ,"Combined Heat and Power, Commercial Power",All Sources,,2.0,4.6,4.4,-2.1999999999999993
1999,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,9.2,8.5,4.1
2000,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,9.0,9.0,0.5
2001,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,7.0,7.0,-2.0
2002,AZ,"Combined Heat and Power, Commercial Power",All Sources,,3.0,7.0,7.0,0.0
2003,AZ,"Combined Heat and Power, Commercial Power",All Sources,,5.0,18.0,17.0,10.0
2004,AZ,"Combined Heat and Power, Commercial Power",All Sources,,5.0,18.0,17.0,0.0
2005,AZ,"Combined Heat and Power, Commercial Power",All Sources,,5.0,18.0,17.0,0.0
2006,AZ,"Combined Heat and Power, Commercial Power",All Sources,,4.0,16.0,16.0,-1.0
2007,AZ,"Combined Heat and Power, Commercial Power",All Sources,,4.0,16.0,16.0,0.0
2008,AZ,"Combined Heat and Power, Commercial Power",All Sources,,4.0,16.0,16.0,0.0
2009,AZ,"Combined Heat and Power, Commercial Power",All Sources,,4.0,16.0,16.0,0.0
2010,AZ,"Combined Heat and Power, Commercial Power",All Sources,,4.0,16.0,16.0,0.0
1990,CA,"Combined Heat and Power, Commercial Power",All Sources,,53.0,299.0,263.1,
1991,CA,"Combined Heat and Power, Commercial Power",All Sources,,51.0,295.6,259.2,-3.900000000000034
1992,CA,"Combined Heat and Power, Commercial Power",All Sources,,55.0,302.7,266.1,6.900000000000034
1993,CA,"Combined Heat and Power, Commercial Power",All Sources,,55.0,327.1,289.3,23.19999999999999
1994,CA,"Combined Heat and Power, Commercial Power",All Sources,,57.0,373.2,329.4,40.099999999999966
1995,CA,"Combined Heat and Power, Commercial Power",All Sources,,57.0,371.4,327.7,-1.6999999999999886
1996,CA,"Combined Heat and Power, Commercial Power",All Sources,,57.0,370.0,326.4,-1.3000000000000114
1997,CA,"Combined Heat and Power, Commercial Power",All Sources,,56.0,365.5,322.2,-4.199999999999989
1998,CA,"Combined Heat and Power, Commercial Power",All Sources,,56.0,368.7,324.9,2.6999999999999886
1999,CA,"Combined Heat and Power, Commercial Power",All Sources,,52.0,353.4,311.8,-13.099999999999966
2000,CA,"Combined Heat and Power, Commercial Power",All Sources,,50.0,366.0,324.0,12.199999999999989
2001,CA,"Combined Heat and Power, Commercial Power",All Sources,,48.0,365.0,314.0,-10.0
2002,CA,"Combined Heat and Power, Commercial Power",All Sources,,48.0,389.0,332.0,18.0
2003,CA,"Combined Heat and Power, Commercial Power",All Sources,,51.0,413.0,345.0,13.0
2004,CA,"Combined Heat and Power, Commercial Power",All Sources,,52.0,410.0,344.0,-1.0
2005,CA,"Combined Heat and Power, Commercial Power",All Sources,,48.0,405.0,339.0,-5.0
2006,CA,"Combined Heat and Power, Commercial Power",All Sources,,47.0,403.0,339.0,0.0
2007,CA,"Combined Heat and Power, Commercial Power",All Sources,,46.0,403.0,345.0,6.0
2008,CA,"Combined Heat and Power, Commercial Power",All Sources,,46.0,423.0,364.0,19.0
2009,CA,"Combined Heat and Power, Commercial Power",All Sources,,46.0,425.0,367.0,3.0
2010,CA,"Combined Heat and Power, Commercial Power",All Sources,,48.0,430.0,372.0,5.0
1990,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.8,4.7,
1991,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.8,4.7,0.0
1992,CO,"Combined Heat and Power, Commercial Power",All Sources,,4.0,43.3,38.4,33.699999999999996
1993,CO,"Combined Heat and Power, Commercial Power",All Sources,,4.0,44.2,39.3,0.8999999999999986
1994,CO,"Combined Heat and Power, Commercial Power",All Sources,,3.0,44.3,39.4,0.10000000000000142
1995,CO,"Combined Heat and Power, Commercial Power",All Sources,,2.0,37.8,33.1,-6.299999999999997
1996,CO,"Combined Heat and Power, Commercial Power",All Sources,,3.0,41.8,36.9,3.799999999999997
1997,CO,"Combined Heat and Power, Commercial Power",All Sources,,3.0,41.8,36.9,0.0
1998,CO,"Combined Heat and Power, Commercial Power",All Sources,,2.0,37.8,33.1,-3.799999999999997
1999,CO,"Combined Heat and Power, Commercial Power",All Sources,,2.0,37.8,33.1,0.0
2000,CO,"Combined Heat and Power, Commercial Power",All Sources,,2.0,38.0,33.0,-0.10000000000000142
2001,CO,"Combined Heat and Power, Commercial Power",All Sources,,2.0,34.0,32.0,-1.0
2002,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,33.0,31.0,-1.0
2003,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,33.0,31.0,0.0
2004,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,33.0,31.0,0.0
2005,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,33.0,31.0,0.0
2006,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,33.0,31.0,0.0
2007,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,33.0,31.0,0.0
2008,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,33.0,31.0,0.0
2009,CO,"Combined Heat and Power, Commercial Power",All Sources,,1.0,33.0,31.0,0.0
2010,CO,"Combined Heat and Power, Commercial Power",All Sources,,4.0,39.0,37.0,6.0
1990,CT,"Combined Heat and Power, Commercial Power",All Sources,,3.0,31.9,28.5,
1991,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,16.6,14.3,-14.2
1992,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,16.6,14.3,0.0
1993,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,16.6,14.3,0.0
1994,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,16.6,14.3,0.0
1995,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,16.6,14.3,0.0
1996,CT,"Combined Heat and Power, Commercial Power",All Sources,,2.0,114.1,105.0,90.7
1997,CT,"Combined Heat and Power, Commercial Power",All Sources,,2.0,114.1,105.0,0.0
1998,CT,"Combined Heat and Power, Commercial Power",All Sources,,2.0,107.9,99.7,-5.299999999999997
1999,CT,"Combined Heat and Power, Commercial Power",All Sources,,2.0,107.9,99.7,0.0
2000,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,10.0,9.0,-90.7
2001,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,10.0,8.0,-1.0
2002,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,10.0,8.0,0.0
2003,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,10.0,8.0,0.0
2004,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,10.0,8.0,0.0
2005,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,10.0,8.0,0.0
2006,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,10.0,8.0,0.0
2007,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,10.0,8.0,0.0
2008,CT,"Combined Heat and Power, Commercial Power",All Sources,,1.0,10.0,8.0,0.0
2009,CT,"Combined Heat and Power, Commercial Power",All Sources,,2.0,14.0,11.0,3.0
2010,CT,"Combined Heat and Power, Commercial Power",All Sources,,3.0,41.0,35.0,24.0
1990,DC,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.8,2.6,
1991,DC,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.8,2.6,0.0
1992,DC,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.8,2.6,0.0
1993,DC,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.8,2.6,0.0
1994,DC,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.8,2.6,0.0
1995,DC,"Combined Heat and Power, Commercial Power",All Sources,,1.0,2.8,2.6,0.0
1990,FL,"Combined Heat and Power, Commercial Power",All Sources,,9.0,61.1,54.9,
1991,FL,"Combined Heat and Power, Commercial Power",All Sources,,10.0,62.3,56.0,1.1000000000000014
1992,FL,"Combined Heat and Power, Commercial Power",All Sources,,11.0,64.8,58.5,2.5
1993,FL,"Combined Heat and Power, Commercial Power",All Sources,,12.0,70.0,63.1,4.600000000000001
1994,FL,"Combined Heat and Power, Commercial Power",All Sources,,12.0,70.0,63.1,0.0
1995,FL,"Combined Heat and Power, Commercial Power",All Sources,,12.0,70.0,63.1,0.0
1996,FL,"Combined Heat and Power, Commercial Power",All Sources,,12.0,70.0,63.1,0.0
1997,FL,"Combined Heat and Power, Commercial Power",All Sources,,10.0,63.5,56.8,-6.300000000000004
1998,FL,"Combined Heat and Power, Commercial Power",All Sources,,10.0,63.0,56.4,-0.3999999999999986
1999,FL,"Combined Heat and Power, Commercial Power",All Sources,,9.0,62.6,55.7,-0.6999999999999957
2000,FL,"Combined Heat and Power, Commercial Power",All Sources,,9.0,63.0,56.0,0.29999999999999716
2001,FL,"Combined Heat and Power, Commercial Power",All Sources,,9.0,63.0,61.0,5.0
2002,FL,"Combined Heat and Power, Commercial Power",All Sources,,9.0,63.0,61.0,0.0
2003,FL,"Combined Heat and Power, Commercial Power",All Sources,,7.0,29.0,28.0,-33.0
2004,FL,"Combined Heat and Power, Commercial Power",All Sources,,7.0,29.0,28.0,0.0
2005,FL,"Combined Heat and Power, Commercial Power",All Sources,,7.0,29.0,28.0,0.0
2006,FL,"Combined Heat and Power, Commercial Power",All Sources,,7.0,39.0,37.0,9.0
2007,FL,"Combined Heat and Power, Commercial Power",All Sources,,7.0,36.0,40.0,3.0
2008,FL,"Combined Heat and Power, Commercial Power",All Sources,,7.0,36.0,35.0,-5.0
2009,FL,"Combined Heat and Power, Commercial Power",All Sources,,7.0,36.0,35.0,0.0
2010,FL,"Combined Heat and Power, Commercial Power",All Sources,,7.0,36.0,35.0,0.0
1990,GA,"Combined Heat and Power, Commercial Power",All Sources,,10.0,54.7,53.4,
1991,GA,"Combined Heat and Power, Commercial Power",All Sources,,7.0,50.4,49.2,-4.199999999999996
1992,GA,"Combined Heat and Power, Commercial Power",All Sources,,10.0,57.5,56.1,6.899999999999999
1993,GA,"Combined Heat and Power, Commercial Power",All Sources,,11.0,59.2,57.5,1.3999999999999986
1994,GA,"Combined Heat and Power, Commercial Power",All Sources,,22.0,82.3,79.9,22.400000000000006
1995,GA,"Combined Heat and Power, Commercial Power",All Sources,,21.0,78.7,76.8,-3.1000000000000085
1996,GA,"Combined Heat and Power, Commercial Power",All Sources,,20.0,78.7,76.8,0.0
1997,GA,"Combined Heat and Power, Commercial Power",All Sources,,18.0,72.2,70.4,-6.3999999999999915
1998,GA,"Combined Heat and Power, Commercial Power",All Sources,,17.0,72.9,71.2,0.7999999999999972
1999,GA,"Combined Heat and Power, Commercial Power",All Sources,,19.0,85.8,83.7,12.5
2000,GA,"Combined Heat and Power, Commercial Power",All Sources,,20.0,85.0,83.0,-0.7000000000000028
2001,GA,"Combined Heat and Power, Commercial Power",All Sources,,19.0,79.0,77.0,-6.0
2002,GA,"Combined Heat and Power, Commercial Power",All Sources,,18.0,79.0,77.0,0.0
2003,GA,"Combined Heat and Power, Commercial Power",All Sources,,19.0,86.0,84.0,7.0
2004,GA,"Combined Heat and Power, Commercial Power",All Sources,,19.0,88.0,86.0,2.0
2005,GA,"Combined Heat and Power, Commercial Power",All Sources,,19.0,88.0,86.0,0.0
2006,GA,"Combined Heat and Power, Commercial Power",All Sources,,18.0,86.0,84.0,-2.0
2007,GA,"Combined Heat and Power, Commercial Power",All Sources,,17.0,90.0,88.0,4.0
2008,GA,"Combined Heat and Power, Commercial Power",All Sources,,18.0,96.0,94.0,6.0
2009,GA,"Combined Heat and Power, Commercial Power",All Sources,,18.0,96.0,95.0,1.0
2010,GA,"Combined Heat and Power, Commercial Power",All Sources,,19.0,101.0,99.0,4.0
2004,HI,"Combined Heat and Power, Commercial Power",All Sources,,1.0,64.0,60.0,
2005,HI,"Combined Heat and Power, Commercial Power",All Sources,,1.0,64.0,60.0,0.0
2006,HI,"Combined Heat and Power, Commercial Power",All Sources,,1.0,64.0,60.0,0.0
2007,HI,"Combined Heat and Power, Commercial Power",All Sources,,1.0,64.0,60.0,0.0
2008,HI,"Combined Heat and Power, Commercial Power",All Sources,,1.0,64.0,60.0,0.0
2009,HI,"Combined Heat and Power, Commercial Power",All Sources,,1.0,64.0,60.0,0.0
2010,HI,"Combined Heat and Power, Commercial Power",All Sources,,1.0,64.0,60.0,0.0
1990,IA,"Combined Heat and Power, Commercial Power",All Sources,,2.0,11.0,9.9,
1991,IA,"Combined Heat and Power, Commercial Power",All Sources,,3.0,12.8,12.2,2.299999999999999
1992,IA,"Combined Heat and Power, Commercial Power",All Sources,,3.0,12.8,12.2,0.0
1993,IA,"Combined Heat and Power, Commercial Power",All Sources,,4.0,33.8,31.7,19.5
1994,IA,"Combined Heat and Power, Commercial Power",All Sources,,4.0,33.8,31.7,0.0
1995,IA,"Combined Heat and Power, Commercial Power",All Sources,,4.0,33.8,31.7,0.0
1996,IA,"Combined Heat and Power, Commercial Power",All Sources,,4.0,33.8,31.7,0.0
1997,IA,"Combined Heat and Power, Commercial Power",All Sources,,5.0,35.4,33.3,1.5999999999999979
1998,IA,"Combined Heat and Power, Commercial Power",All Sources,,6.0,37.2,35.0,1.7000000000000028
1999,IA,"Combined Heat and Power, Commercial Power",All Sources,,6.0,37.2,35.0,0.0
2000,IA,"Combined Heat and Power, Commercial Power",All Sources,,6.0,37.0,35.0,0.0
2001,IA,"Combined Heat and Power, Commercial Power",All Sources,,6.0,37.0,37.0,2.0
2002,IA,"Combined Heat and Power, Commercial Power",All Sources,,6.0,37.0,37.0,0.0
2003,IA,"Combined Heat and Power, Commercial Power",All Sources,,7.0,71.0,71.0,34.0
2004,IA,"Combined Heat and Power, Commercial Power",All Sources,,7.0,68.0,68.0,-3.0
2005,IA,"Combined Heat and Power, Commercial Power",All Sources,,7.0,83.0,83.0,15.0
2006,IA,"Combined Heat and Power, Commercial Power",All Sources,,7.0,83.0,83.0,0.0
2007,IA,"Combined Heat and Power, Commercial Power",All Sources,,7.0,83.0,83.0,0.0
2008,IA,"Combined Heat and Power, Commercial Power",All Sources,,7.0,83.0,83.0,0.0
2009,IA,"Combined Heat and Power, Commercial Power",All Sources,,7.0,83.0,83.0,0.0
2010,IA,"Combined Heat and Power, Commercial Power",All Sources,,8.0,86.0,86.0,3.0
1990,IL,"Combined Heat and Power, Commercial Power",All Sources,,6.0,15.4,13.9,
1991,IL,"Combined Heat and Power, Commercial Power",All Sources,,8.0,26.4,23.3,9.4
1992,IL,"Combined Heat and Power, Commercial Power",All Sources,,11.0,30.7,27.5,4.199999999999999
1993,IL,"Combined Heat and Power, Commercial Power",All Sources,,14.0,73.7,68.7,41.2
1994,IL,"Combined Heat and Power, Commercial Power",All Sources,,16.0,78.6,72.7,4.0
1995,IL,"Combined Heat and Power, Commercial Power",All Sources,,15.0,76.8,70.9,-1.7999999999999972
1996,IL,"Combined Heat and Power, Commercial Power",All Sources,,18.0,81.0,74.9,4.0
1997,IL,"Combined Heat and Power, Commercial Power",All Sources,,18.0,132.2,125.8,50.89999999999999
1998,IL,"Combined Heat and Power, Commercial Power",All Sources,,17.0,80.5,74.5,-51.3
1999,IL,"Combined Heat and Power, Commercial Power",All Sources,,17.0,80.5,74.3,-0.20000000000000284
2000,IL,"Combined Heat and Power, Commercial Power",All Sources,,18.0,88.0,82.0,7.700000000000003
2001,IL,"Combined Heat and Power, Commercial Power",All Sources,,18.0,87.0,82.0,0.0
2002,IL,"Combined Heat and Power, Commercial Power",All Sources,,18.0,124.0,115.0,33.0
2003,IL,"Combined Heat and Power, Commercial Power",All Sources,,17.0,147.0,143.0,28.0
2004,IL,"Combined Heat and Power, Commercial Power",All Sources,,17.0,180.0,175.0,32.0
2005,IL,"Combined Heat and Power, Commercial Power",All Sources,,16.0,179.0,172.0,-3.0
2006,IL,"Combined Heat and Power, Commercial Power",All Sources,,15.0,178.0,171.0,-1.0
2007,IL,"Combined Heat and Power, Commercial Power",All Sources,,14.0,175.0,168.0,-3.0
2008,IL,"Combined Heat and Power, Commercial Power",All Sources,,14.0,175.0,168.0,0.0
2009,IL,"Combined Heat and Power, Commercial Power",All Sources,,14.0,175.0,168.0,0.0
2010,IL,"Combined Heat and Power, Commercial Power",All Sources,,14.0,175.0,168.0,0.0
1990,IN,"Combined Heat and Power, Commercial Power",All Sources,,4.0,27.7,25.8,
1991,IN,"Combined Heat and Power, Commercial Power",All Sources,,5.0,29.0,26.9,1.0999999999999979
1992,IN,"Combined Heat and Power, Commercial Power",All Sources,,6.0,32.3,29.7,2.8000000000000007
1993,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,33.6,31.0,1.3000000000000007
1994,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,33.6,31.0,0.0
1995,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,67.7,62.9,31.9
1996,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,67.7,62.9,0.0
1997,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,67.7,62.9,0.0
1998,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,67.7,62.9,0.0
1999,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,67.7,62.9,0.0
2000,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,76.0,71.0,8.100000000000001
2001,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,75.0,70.0,-1.0
2002,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,75.0,70.0,0.0
2003,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,75.0,70.0,0.0
2004,IN,"Combined Heat and Power, Commercial Power",All Sources,,6.0,76.0,71.0,1.0
2005,IN,"Combined Heat and Power, Commercial Power",All Sources,,6.0,76.0,71.0,0.0
2006,IN,"Combined Heat and Power, Commercial Power",All Sources,,6.0,82.0,76.0,5.0
2007,IN,"Combined Heat and Power, Commercial Power",All Sources,,6.0,82.0,76.0,0.0
2008,IN,"Combined Heat and Power, Commercial Power",All Sources,,6.0,82.0,76.0,0.0
2009,IN,"Combined Heat and Power, Commercial Power",All Sources,,6.0,82.0,76.0,0.0
2010,IN,"Combined Heat and Power, Commercial Power",All Sources,,7.0,84.0,78.0,2.0
1994,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.9,4.8,
1995,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.9,4.8,0.0
1996,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.9,4.8,0.0
1997,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.9,4.8,0.0
1998,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.9,4.8,0.0
1999,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.9,4.8,0.0
2000,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,5.0,5.0,0.20000000000000018
2001,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,5.0,5.0,0.0
2002,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.0,4.0,-1.0
2003,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.0,4.0,0.0
2004,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.0,4.0,0.0
2005,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.0,4.0,0.0
2006,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.0,4.0,0.0
2007,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.0,4.0,0.0
2008,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.0,4.0,0.0
2009,KS,"Combined Heat and Power, Commercial Power",All Sources,,1.0,4.0,4.0,0.0
2001,KY,"Combined Heat and Power, Commercial Power",All Sources,,1.0,690.0,495.0,
1990,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,
1991,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,0.0
1992,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,0.0
1993,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,0.0
1994,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,0.0
1995,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,0.0
1996,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,0.0
1997,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,0.0
1998,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,0.0
1999,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,7.5,7.1,0.0
2000,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,8.0,7.0,-0.09999999999999964
2001,LA,"Combined Heat and Power, Commercial Power",All Sources,,2.0,180.0,163.0,156.0
2002,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,5.0,5.0,-158.0
2003,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,5.0,5.0,0.0
2004,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,13.0,11.0,6.0
2005,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,13.0,11.0,0.0
2006,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,13.0,11.0,0.0
2007,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,13.0,11.0,0.0
2008,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,8.0,6.0,-5.0
2009,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,8.0,6.0,0.0
2010,LA,"Combined Heat and Power, Commercial Power",All Sources,,1.0,8.0,6.0,0.0
1990,MA,"Combined Heat and Power, Commercial Power",All Sources,,8.0,88.1,85.3,
1991,MA,"Combined Heat and Power, Commercial Power",All Sources,,4.0,81.6,76.6,-8.700000000000003
1992,MA,"Combined Heat and Power, Commercial Power",All Sources,,5.0,84.6,79.4,2.8000000000000114
1993,MA,"Combined Heat and Power, Commercial Power",All Sources,,5.0,84.6,79.4,0.0
1994,MA,"Combined Heat and Power, Commercial Power",All Sources,,5.0,84.6,79.4,0.0
1995,MA,"Combined Heat and Power, Commercial Power",All Sources,,8.0,156.9,141.6,62.19999999999999
1996,MA,"Combined Heat and Power, Commercial Power",All Sources,,10.0,172.6,155.1,13.5
1997,MA,"Combined Heat and Power, Commercial Power",All Sources,,11.0,160.6,144.2,-10.900000000000006
1998,MA,"Combined Heat and Power, Commercial Power",All Sources,,13.0,178.1,160.5,16.30000000000001
1999,MA,"Combined Heat and Power, Commercial Power",All Sources,,11.0,180.0,161.3,0.8000000000000114
2000,MA,"Combined Heat and Power, Commercial Power",All Sources,,10.0,177.0,162.0,0.6999999999999886
2001,MA,"Combined Heat and Power, Commercial Power",All Sources,,11.0,178.0,159.0,-3.0
2002,MA,"Combined Heat and Power, Commercial Power",All Sources,,11.0,189.0,160.0,1.0
2003,MA,"Combined Heat and Power, Commercial Power",All Sources,,11.0,214.0,185.0,25.0
